CNT,ST004D01T,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,HISCED,ICTRES,ESCS,PV1MATH,PV1READ,PV1SCIE
ARG,1.0,1.0,1.0,2.0,1.0,2.0,-1.1725,-2.6685,304.026,349.027,324.011
ARG,2.0,1.0,2.0,2.0,2.0,3.0,-2.2248,-2.2319,382.93,437.105,413.695
ARG,2.0,,,,,10.0,-0.0854,-0.7624,344.345,389.025,433.035
ARG,1.0,,,,1.0,1.0,-1.9284,-2.9665,349.412,360.891,363.653
ARG,1.0,1.0,1.0,1.0,1.0,8.0,0.5309,0.2144,396.456,497.241,422.323
ARG,1.0,1.0,1.0,1.0,1.0,9.0,-0.5617,0.7185,517.553,610.835,588.288
ARG,2.0,1.0,2.0,2.0,1.0,10.0,-2.5472,-1.2061,317.919,382.04,394.416
ARG,2.0,1.0,1.0,1.0,1.0,9.0,-0.6429,0.4407,490.392,437.237,457.428
ARG,2.0,1.0,1.0,1.0,1.0,10.0,-1.146,-0.736,315.603,382.029,399.128
ARG,1.0,2.0,2.0,2.0,1.0,6.0,-1.4231,-1.1024,347.708,384.56,379.75
ARG,2.0,2.0,2.0,2.0,1.0,10.0,-2.0446,-0.3986,427.637,538.316,477.958
ARG,2.0,1.0,2.0,2.0,1.0,10.0,-1.1929,-0.8027,331.505,367.317,335.671
ARG,2.0,1.0,1.0,2.0,1.0,9.0,-0.857,0.5706,375.283,411.907,420.972
ARG,2.0,2.0,1.0,1.0,1.0,5.0,-0.2991,-0.7108,473.032,486.981,465.663
ARG,1.0,1.0,1.0,1.0,1.0,10.0,0.3542,0.6791,436.332,423.487,460.163
ARG,1.0,1.0,1.0,1.0,1.0,8.0,-0.648,0.7015,486.729,494.541,536.231
ARG,2.0,2.0,2.0,1.0,2.0,6.0,-1.2533,-0.4481,296.64,418.571,361.323
ARG,1.0,1.0,1.0,1.0,1.0,8.0,0.1459,0.8625,385.276,540.533,402.64
ARG,1.0,1.0,1.0,1.0,1.0,5.0,-0.405,-0.7465,313.392,471.677,330.449
ARG,1.0,1.0,1.0,1.0,1.0,9.0,0.2198,0.3419,473.939,509.303,514.136
ARG,2.0,1.0,1.0,1.0,1.0,8.0,-0.648,0.2891,471.333,519.062,497.296
ARG,1.0,2.0,1.0,1.0,1.0,10.0,-0.4684,-0.9379,337.793,369.93,329.587
ARG,1.0,2.0,2.0,1.0,1.0,10.0,-0.5384,-1.0234,336.11,460.448,348.551
ARG,1.0,1.0,2.0,2.0,1.0,2.0,-1.4228,-2.5815,364.204,346.157,342.817
ARG,2.0,2.0,1.0,2.0,1.0,10.0,0.3721,-0.3439,320.053,329.636,307.88
ARG,1.0,2.0,1.0,2.0,1.0,3.0,-1.5136,-2.3101,419.103,462.977,363.397
ARG,1.0,2.0,1.0,1.0,1.0,8.0,-0.3401,0.7877,549.024,616.154,574.38
ARG,2.0,2.0,1.0,2.0,1.0,9.0,0.1226,0.5833,391.683,350.073,453.601
ARG,2.0,1.0,1.0,2.0,1.0,10.0,-0.857,0.646,526.612,540.367,541.103
ARG,1.0,2.0,1.0,1.0,1.0,3.0,-0.8708,-2.064,366.293,454.623,382.167
ARG,1.0,1.0,1.0,1.0,1.0,7.0,-0.4924,0.2346,324.085,416.717,418.537
ARG,2.0,1.0,1.0,1.0,1.0,9.0,-0.3401,0.0165,455.295,394.666,485.378
ARG,1.0,1.0,1.0,2.0,1.0,9.0,-0.857,-0.0568,457.877,514.456,572.582
ARG,2.0,1.0,1.0,2.0,1.0,8.0,-0.5573,-0.617,420.971,455.813,448.476
ARG,2.0,2.0,1.0,2.0,1.0,7.0,-1.0545,-0.4835,441.546,561.82,509.308
ARG,1.0,,,,,,,,341.649,435.933,372.205
ARG,1.0,1.0,1.0,1.0,1.0,9.0,1.1756,1.1206,405.172,476.776,483.386
